#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0257152E-05   1.8428391E+07   1.8428391E+07   2.4556636E+07   -5.3628570E+06   -2.7911519E+08   1.8428397E+07   1.8428391E+07   8.6005096E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1022416E-05   1.8428451E+07   1.8428451E+07   2.4554464E+07   -5.3627779E+06   -2.7911047E+08   1.8428457E+07   1.8428451E+07   8.6005197E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1844775E-05   1.8428521E+07   1.8428521E+07   2.4551958E+07   -5.3626866E+06   -2.7910501E+08   1.8428527E+07   1.8428521E+07   8.6005313E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2728488E-05   1.8428602E+07   1.8428602E+07   2.4549063E+07   -5.3625813E+06   -2.7909872E+08   1.8428607E+07   1.8428602E+07   8.6005448E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3678132E-05   1.8428695E+07   1.8428695E+07   2.4545720E+07   -5.3624596E+06   -2.7909145E+08   1.8428700E+07   1.8428695E+07   8.6005604E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4698628E-05   1.8428803E+07   1.8428803E+07   2.4541861E+07   -5.3623190E+06   -2.7908305E+08   1.8428807E+07   1.8428803E+07   8.6005783E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5795261E-05   1.8428927E+07   1.8428927E+07   2.4537405E+07   -5.3621567E+06   -2.7907336E+08   1.8428931E+07   1.8428927E+07   8.6005991E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6973711E-05   1.8429071E+07   1.8429071E+07   2.4532260E+07   -5.3619694E+06   -2.7906216E+08   1.8429074E+07   1.8429071E+07   8.6006230E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8240083E-05   1.8429236E+07   1.8429236E+07   2.4526320E+07   -5.3617530E+06   -2.7904924E+08   1.8429240E+07   1.8429236E+07   8.6006507E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9600936E-05   1.8429428E+07   1.8429428E+07   2.4519462E+07   -5.3615031E+06   -2.7903431E+08   1.8429430E+07   1.8429428E+07   8.6006826E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1063319E-05   1.8429649E+07   1.8429649E+07   2.4511544E+07   -5.3612146E+06   -2.7901707E+08   1.8429651E+07   1.8429649E+07   8.6007195E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2634808E-05   1.8429904E+07   1.8429904E+07   2.4502403E+07   -5.3608815E+06   -2.7899717E+08   1.8429905E+07   1.8429904E+07   8.6007621E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4323541E-05   1.8430199E+07   1.8430199E+07   2.4491851E+07   -5.3604968E+06   -2.7897420E+08   1.8430199E+07   1.8430199E+07   8.6008112E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6138268E-05   1.8430539E+07   1.8430539E+07   2.4479670E+07   -5.3600527E+06   -2.7894766E+08   1.8430538E+07   1.8430539E+07   8.6008680E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8088387E-05   1.8430932E+07   1.8430932E+07   2.4465610E+07   -5.3595398E+06   -2.7891703E+08   1.8430929E+07   1.8430932E+07   8.6009335E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0184001E-05   1.8431386E+07   1.8431386E+07   2.4449382E+07   -5.3589477E+06   -2.7888166E+08   1.8431381E+07   1.8431386E+07   8.6010092E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
