#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0538051E-05   8.2510524E+06   8.2510524E+06   1.0999266E+07   1.0939407E+04   7.0506367E+04   8.2511467E+06   8.2510524E+06   7.6464314E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1324272E-05   8.2510509E+06   8.2510509E+06   1.0998933E+07   1.0939199E+04   7.0505724E+04   8.2511452E+06   8.2510509E+06   7.6464300E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2169152E-05   8.2510492E+06   8.2510492E+06   1.0998549E+07   1.0938960E+04   7.0504981E+04   8.2511433E+06   8.2510492E+06   7.6464283E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3077066E-05   8.2510473E+06   8.2510473E+06   1.0998105E+07   1.0938683E+04   7.0504124E+04   8.2511413E+06   8.2510473E+06   7.6464264E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4052717E-05   8.2510450E+06   8.2510450E+06   1.0997593E+07   1.0938364E+04   7.0503134E+04   8.2511388E+06   8.2510450E+06   7.6464241E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5101160E-05   8.2510424E+06   8.2510424E+06   1.0997001E+07   1.0937995E+04   7.0501990E+04   8.2511361E+06   8.2510424E+06   7.6464215E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6227825E-05   8.2510394E+06   8.2510394E+06   1.0996318E+07   1.0937569E+04   7.0500670E+04   8.2511328E+06   8.2510394E+06   7.6464186E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7438547E-05   8.2510359E+06   8.2510359E+06   1.0995529E+07   1.0937077E+04   7.0499146E+04   8.2511291E+06   8.2510359E+06   7.6464151E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739600E-05   8.2510319E+06   8.2510319E+06   1.0994618E+07   1.0936509E+04   7.0497386E+04   8.2511248E+06   8.2510319E+06   7.6464111E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0137720E-05   8.2510273E+06   8.2510273E+06   1.0993566E+07   1.0935853E+04   7.0495354E+04   8.2511199E+06   8.2510273E+06   7.6464065E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1640152E-05   8.2510219E+06   8.2510219E+06   1.0992352E+07   1.0935096E+04   7.0493008E+04   8.2511141E+06   8.2510219E+06   7.6464012E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3254677E-05   8.2510157E+06   8.2510157E+06   1.0990949E+07   1.0934222E+04   7.0490299E+04   8.2511075E+06   8.2510157E+06   7.6463951E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4989658E-05   8.2510086E+06   8.2510086E+06   1.0989330E+07   1.0933212E+04   7.0487172E+04   8.2510999E+06   8.2510086E+06   7.6463880E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6854082E-05   8.2510003E+06   8.2510003E+06   1.0987460E+07   1.0932047E+04   7.0483561E+04   8.2510911E+06   8.2510003E+06   7.6463799E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8857607E-05   8.2509908E+06   8.2509908E+06   1.0985302E+07   1.0930701E+04   7.0479393E+04   8.2510809E+06   8.2509908E+06   7.6463704E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1010610E-05   8.2509798E+06   8.2509798E+06   1.0982810E+07   1.0929147E+04   7.0474581E+04   8.2510691E+06   8.2509798E+06   7.6463595E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3324244E-05   8.2509671E+06   8.2509671E+06   1.0979933E+07   1.0927352E+04   7.0469027E+04   8.2510556E+06   8.2509671E+06   7.6463469E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5810494E-05   8.2509524E+06   8.2509524E+06   1.0976611E+07   1.0925281E+04   7.0462616E+04   8.2510399E+06   8.2509524E+06   7.6463324E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.8482237E-05   8.2509355E+06   8.2509355E+06   1.0972776E+07   1.0922889E+04   7.0455216E+04   8.2510218E+06   8.2509355E+06   7.6463156E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1353313E-05   8.2509159E+06   8.2509159E+06   1.0968350E+07   1.0920128E+04   7.0446676E+04   8.2510009E+06   8.2509159E+06   7.6462963E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4438594E-05   8.2508933E+06   8.2508933E+06   1.0963240E+07   1.0916941E+04   7.0436821E+04   8.2509767E+06   8.2508933E+06   7.6462739E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7754061E-05   8.2508672E+06   8.2508672E+06   1.0957343E+07   1.0913261E+04   7.0425449E+04   8.2509489E+06   8.2508672E+06   7.6462481E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.1316888E-05   8.2508371E+06   8.2508371E+06   1.0950536E+07   1.0909014E+04   7.0412329E+04   8.2509167E+06   8.2508371E+06   7.6462183E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5145529E-05   8.2508023E+06   8.2508023E+06   1.0942681E+07   1.0904112E+04   7.0397195E+04   8.2508796E+06   8.2508023E+06   7.6461838E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259817E-05   8.2507622E+06   8.2507622E+06   1.0933617E+07   1.0898454E+04   7.0379739E+04   8.2508367E+06   8.2507622E+06   7.6461441E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3681064E-05   8.2507158E+06   8.2507158E+06   1.0923159E+07   1.0891925E+04   7.0359610E+04   8.2507871E+06   8.2507158E+06   7.6460982E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.8432169E-05   8.2506623E+06   8.2506623E+06   1.0911094E+07   1.0884390E+04   7.0336403E+04   8.2507299E+06   8.2506623E+06   7.6460452E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.3537745E-05   8.2506005E+06   8.2506005E+06   1.0897178E+07   1.0875698E+04   7.0309654E+04   8.2506639E+06   8.2506005E+06   7.6459840E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.9024236E-05   8.2505292E+06   8.2505292E+06   1.0881129E+07   1.0865669E+04   7.0278832E+04   8.2505877E+06   8.2505292E+06   7.6459134E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.4920063E-05   8.2504468E+06   8.2504468E+06   1.0862623E+07   1.0854102E+04   7.0243328E+04   8.2504997E+06   8.2504468E+06   7.6458318E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.1255765E-05   8.2503518E+06   8.2503518E+06   1.0841292E+07   1.0840762E+04   7.0202447E+04   8.2503982E+06   8.2503518E+06   7.6457377E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.8064159E-05   8.2502420E+06   8.2502420E+06   1.0816708E+07   1.0825381E+04   7.0155396E+04   8.2502809E+06   8.2502420E+06   7.6456291E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0538051E-04   8.2501154E+06   8.2501154E+06   1.0788386E+07   1.0807650E+04   7.0101273E+04   8.2501456E+06   8.2501154E+06   7.6455037E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1324272E-04   8.2499692E+06   8.2499692E+06   1.0755769E+07   1.0787217E+04   7.0039050E+04   8.2499894E+06   8.2499692E+06   7.6453589E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2169152E-04   8.2498005E+06   8.2498005E+06   1.0718221E+07   1.0763677E+04   6.9967567E+04   8.2498092E+06   8.2498005E+06   7.6451919E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3077066E-04   8.2496058E+06   8.2496058E+06   1.0675018E+07   1.0736568E+04   6.9885510E+04   8.2496012E+06   8.2496058E+06   7.6449992E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4052717E-04   8.2493811E+06   8.2493811E+06   1.0625337E+07   1.0705361E+04   6.9791403E+04   8.2493612E+06   8.2493811E+06   7.6447768E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5101160E-04   8.2491220E+06   8.2491220E+06   1.0568242E+07   1.0669455E+04   6.9683593E+04   8.2490844E+06   8.2491220E+06   7.6445202E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6227825E-04   8.2488230E+06   8.2488230E+06   1.0502677E+07   1.0628166E+04   6.9560239E+04   8.2487650E+06   8.2488230E+06   7.6442242E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7438547E-04   8.2484782E+06   8.2484782E+06   1.0427452E+07   1.0580717E+04   6.9419303E+04   8.2483967E+06   8.2484782E+06   7.6438829E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739600E-04   8.2480806E+06   8.2480806E+06   1.0341228E+07   1.0526231E+04   6.9258548E+04   8.2479720E+06   8.2480806E+06   7.6434893E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0137720E-04   8.2476223E+06   8.2476223E+06   1.0242514E+07   1.0463717E+04   6.9075544E+04   8.2474824E+06   8.2476223E+06   7.6430356E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1640152E-04   8.2470940E+06   8.2470940E+06   1.0129651E+07   1.0392067E+04   6.8867678E+04   8.2469181E+06   8.2470940E+06   7.6425127E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3254677E-04   8.2464853E+06   8.2464853E+06   1.0000813E+07   1.0310040E+04   6.8632191E+04   8.2462680E+06   8.2464853E+06   7.6419102E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4989658E-04   8.2457842E+06   8.2457842E+06   9.8540033E+06   1.0216259E+04   6.8366220E+04   8.2455192E+06   8.2457842E+06   7.6412163E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6854082E-04   8.2449769E+06   8.2449769E+06   9.6870655E+06   1.0109207E+04   6.8066879E+04   8.2446571E+06   8.2449769E+06   7.6404174E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8857607E-04   8.2440478E+06   8.2440478E+06   9.4976991E+06   9.9872255E+03   6.7731364E+04   8.2436650E+06   8.2440478E+06   7.6394980E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1010610E-04   8.2429791E+06   8.2429791E+06   9.2834938E+06   9.8485210E+03   6.7357103E+04   8.2425239E+06   8.2429791E+06   7.6384405E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3324244E-04   8.2417504E+06   8.2417504E+06   9.0419812E+06   9.6911800E+03   6.6941952E+04   8.2412121E+06   8.2417504E+06   7.6372248E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5810494E-04   8.2403388E+06   8.2403388E+06   8.7707106E+06   9.5131948E+03   6.6484447E+04   8.2397051E+06   8.2403388E+06   7.6358283E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.8482237E-04   8.2387182E+06   8.2387182E+06   8.4673560E+06   9.3125042E+03   6.5984118E+04   8.2379753E+06   8.2387182E+06   7.6342252E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1353313E-04   8.2368592E+06   8.2368592E+06   8.1298596E+06   9.0870542E+03   6.5441857E+04   8.2359914E+06   8.2368592E+06   7.6323867E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
